IdList,name,Superkingdom
4909,Pichia kudriavzevii,Eukaryota
5482,Candida tropicalis,Eukaryota
64495,Rhizopus arrhizus,Eukaryota
58291,Rhizopus microsporus,Eukaryota
523103,Trichophyton mentagrophytes,Eukaryota
36911,Clavispora lusitaniae,Eukaryota
273371,Candida orthopsilosis,Eukaryota
273372,Candida metapsilosis,Eukaryota
746128,Neosartorya fumigata,Eukaryota
5061,Aspergillus niger,Eukaryota
5207,Cryptococcus neoformans,Eukaryota
5537,Rhodotorula mucilaginosa,Eukaryota
5552,Trichosporon,Eukaryota
4953,Zygosaccharomyces,Eukaryota
34356,Kodamaea ohmeri,Eukaryota
907340,Cyberlindnera saturnus,Eukaryota
43987,Geotrichum,Eukaryota
4932,Saccharomyces cerevisiae,Eukaryota
28985,Kluyveromyces lactis,Eukaryota
4921,Pichia norvegensis,Eukaryota
418086,Nakaseomyces nivariensis,Eukaryota
53655,Pichia fermentans,Eukaryota
241526,Candida africana,Eukaryota
4903,Cyberlindnera jadinii,Eukaryota
5481,Diutina rugosa,Eukaryota
4927,Wickerhamomyces anomalus,Eukaryota
4959,Debaryomyces hansenii,Eukaryota
4952,Yarrowia lipolytica,Eukaryota
66948,Meyerozyma caribbica,Eukaryota
4911,Kluyveromyces marxianus,Eukaryota
4929,Meyerozyma guilliermondii,Eukaryota
29916,Fusarium sp.,Eukaryota
40355,Fonsecaea pedrosoi,Eukaryota
254056,Fonsecaea monophora,Eukaryota
5475,Candida,Eukaryota
37769,Cryptococcus gattii,Eukaryota
82517,Trichosporon inkin,Eukaryota
82508,Trichosporon asahii,Eukaryota
1173061,Geotrichum candidum,Eukaryota
42458,Lichtheimia corymbifera,Eukaryota
64493,Mucor hiemalis,Eukaryota
41688,Lomentospora prolificans,Eukaryota
563466,Scedosporium apiospermum,Eukaryota
37727,Talaromyces marneffei,Eukaryota
5081,Penicillium sp.,Eukaryota
169388,Fusarium solani,Eukaryota
5507,Fusarium oxysporum,Eukaryota
29908,Sporothrix schenckii,Eukaryota
5503,Curvularia lunata,Eukaryota
91365,Curvularia australiensis,Eukaryota
5551,Trichophyton rubrum,Eukaryota
264951,Paecilomyces variotii,Eukaryota
1095183,Magnusiomyces capitatus,Eukaryota
5207,Cryptococcus neoformans,Eukaryota
100951,Naganishia albida,Eukaryota
5535,Rhodotorula glutinis,Eukaryota
5418,Papiliotrema laurentii,Eukaryota
162425,Aspergillus nidulans,Eukaryota
75750,Aspergillus sydowii,Eukaryota
46472,Aspergillus versicolor,Eukaryota
40380,Aspergillus ochraceus,Eukaryota
5052,Aspergillus,Eukaryota
5073,Penicillium,Eukaryota
948311,Fusarium proliferatum,Eukaryota
117187,Fusarium verticillioides,Eukaryota
561152,Scopulariopsis brevicaulis,Eukaryota
5543,Trichoderma,Eukaryota
61235,Fusarium equiseti,Eukaryota
176275,Beauveria bassiana,Eukaryota
5599,Alternaria alternata,Eukaryota
5970,Exophiala dermatitidis,Eukaryota
5580,Aureobasidium pullulans,Eukaryota
5498,Cladosporium,Eukaryota
90251,Cunninghamella bertholletiae,Eukaryota
5068,Aspergillus tubingensis,Eukaryota
5478,Candida glabrata,Eukaryota
319629,Aspergillus brasiliensis,Eukaryota
,[Candida] auris,
1283,Staphylococcus haemolyticus,Bacteria
1764,Mycobacterium avium,Bacteria
29388,Staphylococcus capitis,Bacteria
1334,Streptococcus dysgalactiae,Bacteria
2,Bacteria,Eukaryota
1642,Listeria innocua,Bacteria
953,Wolbachia,Bacteria
747,Pasteurella multocida,Bacteria
1404,Priestia megaterium,Bacteria
587,Providencia rettgeri,Bacteria
28901,Salmonella enterica,Bacteria
1307,Streptococcus suis,Bacteria
1769,Mycobacterium leprae,Bacteria
29497,Vibrio splendidus,Bacteria
55601,Vibrio anguillarum,Bacteria
28901,Salmonella enterica,Bacteria
1773,Mycobacterium tuberculosis,Bacteria
520,Bordetella pertussis,Bacteria
1358,Lactococcus lactis,Bacteria
817,Bacteroides fragilis,Bacteria
5861,Plasmodium yoelii,Eukaryota
582,Morganella morganii,Bacteria
674,Vibrio mimicus,Bacteria
636,Edwardsiella tarda,Bacteria
10029,Cricetulus griseus,Eukaryota
818,Bacteroides thetaiotaomicron,Bacteria
28132,Prevotella melaninogenica,Bacteria
28116,Bacteroides ovatus,Bacteria
823,Parabacteroides distasonis,Bacteria
821,Phocaeicola vulgatus,Bacteria
851,Fusobacterium nucleatum,Bacteria
859,Fusobacterium necrophorum,Bacteria
1547,Thomasclavelia ramosa,Bacteria
1504,Clostridium septicum,Bacteria
1492,Clostridium butyricum,Bacteria
1509,Clostridium sporogenes,Bacteria
33034,Anaerococcus prevotii,Bacteria
518,Bordetella bronchiseptica,Bacteria
715,Actinobacillus pleuropneumoniae,Bacteria
1661,Trueperella pyogenes,Bacteria
472,Acinetobacter sp.,Bacteria
